jour_de_tirage;date_de_tirage;heure_de_tirage;date_de_forclusion;Numero;devise;
Dimanche;30/08/2015;soir;30/10/2015;4 361 752;eur;
Dimanche;30/08/2015;midi;30/10/2015;0 425 085;eur;
Samedi  ;29/08/2015;soir;29/10/2015;5 892 466;eur;
Samedi  ;29/08/2015;midi;29/10/2015;0 848 563;eur;
Vendredi;28/08/2015;soir;28/10/2015;6 142 545;eur;
Vendredi;28/08/2015;midi;28/10/2015;5 131 154;eur;
Jeudi   ;27/08/2015;soir;27/10/2015;7 895 068;eur;
Jeudi   ;27/08/2015;midi;27/10/2015;7 893 471;eur;
Mercredi;26/08/2015;soir;26/10/2015;6 905 704;eur;
Mercredi;26/08/2015;midi;26/10/2015;7 408 020;eur;
Mardi   ;25/08/2015;soir;25/10/2015;0 275 601;eur;
Mardi   ;25/08/2015;midi;25/10/2015;4 628 812;eur;
Lundi   ;24/08/2015;soir;24/10/2015;0 248 142;eur;
Lundi   ;24/08/2015;midi;24/10/2015;8 858 991;eur;
Dimanche;23/08/2015;soir;23/10/2015;5 877 291;eur;
Dimanche;23/08/2015;midi;23/10/2015;1 251 043;eur;
Samedi  ;22/08/2015;soir;22/10/2015;3 347 730;eur;
Samedi  ;22/08/2015;midi;22/10/2015;8 045 740;eur;
Vendredi;21/08/2015;soir;21/10/2015;1 791 994;eur;
Vendredi;21/08/2015;midi;21/10/2015;3 273 998;eur;
Jeudi   ;20/08/2015;soir;20/10/2015;5 281 757;eur;
Jeudi   ;20/08/2015;midi;20/10/2015;7 810 953;eur;
Mercredi;19/08/2015;soir;19/10/2015;7 060 223;eur;
Mercredi;19/08/2015;midi;19/10/2015;5 541 085;eur;
Mardi   ;18/08/2015;soir;18/10/2015;6 405 674;eur;
Mardi   ;18/08/2015;midi;18/10/2015;8 910 714;eur;
Lundi   ;17/08/2015;soir;17/10/2015;4 960 467;eur;
Lundi   ;17/08/2015;midi;17/10/2015;2 674 319;eur;
Dimanche;16/08/2015;soir;16/10/2015;9 276 200;eur;
Dimanche;16/08/2015;midi;16/10/2015;7 249 454;eur;
Samedi  ;15/08/2015;soir;15/10/2015;4 081 996;eur;
Samedi  ;15/08/2015;midi;15/10/2015;6 273 740;eur;
Vendredi;14/08/2015;soir;14/10/2015;1 150 431;eur;
Vendredi;14/08/2015;midi;14/10/2015;9 459 019;eur;
Jeudi   ;13/08/2015;soir;13/10/2015;6 604 694;eur;
Jeudi   ;13/08/2015;midi;13/10/2015;4 278 938;eur;
Mercredi;12/08/2015;soir;12/10/2015;8 396 701;eur;
Mercredi;12/08/2015;midi;12/10/2015;7 222 848;eur;
Mardi   ;11/08/2015;soir;11/10/2015;2 502 366;eur;
Mardi   ;11/08/2015;midi;11/10/2015;2 789 764;eur;
Lundi   ;10/08/2015;soir;10/10/2015;6 892 744;eur;
Lundi   ;10/08/2015;midi;10/10/2015;6 025 698;eur;
Dimanche;09/08/2015;soir;09/10/2015;7 933 965;eur;
Dimanche;09/08/2015;midi;09/10/2015;2 072 770;eur;
Samedi  ;08/08/2015;soir;08/10/2015;4 046 606;eur;
Samedi  ;08/08/2015;midi;08/10/2015;8 835 027;eur;
Vendredi;07/08/2015;soir;07/10/2015;9 534 842;eur;
Vendredi;07/08/2015;midi;07/10/2015;3 093 874;eur;
Jeudi   ;06/08/2015;soir;06/10/2015;0 746 490;eur;
Jeudi   ;06/08/2015;midi;06/10/2015;4 143 916;eur;
Mercredi;05/08/2015;soir;05/10/2015;5 879 982;eur;
Mercredi;05/08/2015;midi;05/10/2015;8 005 637;eur;
Mardi   ;04/08/2015;soir;04/10/2015;1 172 247;eur;
Mardi   ;04/08/2015;midi;04/10/2015;6 077 963;eur;
Lundi   ;03/08/2015;soir;03/10/2015;2 565 192;eur;
Lundi   ;03/08/2015;midi;03/10/2015;4 588 166;eur;
Dimanche;02/08/2015;soir;02/10/2015;0 560 529;eur;
Dimanche;02/08/2015;midi;02/10/2015;9 745 155;eur;
Samedi  ;01/08/2015;soir;01/10/2015;7 353 742;eur;
Samedi  ;01/08/2015;midi;01/10/2015;3 236 394;eur;
Vendredi;31/07/2015;soir;30/09/2015;0 030 001;eur;
Vendredi;31/07/2015;midi;30/09/2015;2 061 708;eur;
Jeudi   ;30/07/2015;soir;29/09/2015;3 409 692;eur;
Jeudi   ;30/07/2015;midi;29/09/2015;1 968 984;eur;
Mercredi;29/07/2015;soir;28/09/2015;7 397 697;eur;
Mercredi;29/07/2015;midi;28/09/2015;1 224 206;eur;
Mardi   ;28/07/2015;soir;27/09/2015;9 832 804;eur;
Mardi   ;28/07/2015;midi;27/09/2015;8 419 215;eur;
Lundi   ;27/07/2015;soir;26/09/2015;3 187 523;eur;
Lundi   ;27/07/2015;midi;26/09/2015;1 595 284;eur;
Dimanche;26/07/2015;soir;25/09/2015;4 292 243;eur;
Dimanche;26/07/2015;midi;25/09/2015;4 715 787;eur;
Samedi  ;25/07/2015;soir;24/09/2015;1 313 913;eur;
Samedi  ;25/07/2015;midi;24/09/2015;4 034 231;eur;
Vendredi;24/07/2015;soir;23/09/2015;3 397 429;eur;
Vendredi;24/07/2015;midi;23/09/2015;2 448 879;eur;
